latitude,longitude,fid (int),XTRID (string),BAUART (string),BAUJAHR (string),BAULEITER (string),BEMERKUNG (string),BETREIBER (string),BETRIEBSFÜ (string),DARSTELLUN (int),DREHMOMENT (float),EIGENTÜMER (string),EINBAUJAHR (string),ENTLÜFTUNG (string),FABRIKATTY (string),FUNKTIONSP (string),GSP_TYP (string),GANGZAHL (float),GEMEINDENA (string),GEMEINDESC (string),HAUSNUMMER (string),HERSTELLER (string),HINWEISSCH (string),ID (float),LAGE_DES_H (string),LAGE_ZUR_L (string),LEISTUNG (float),LEITUNGSFU (string),LOGISCHE_I (string),MATERIAL (string),MAX__BAUTE (string),MAX__SYSTE (string),MESSUNGSAR (string),MONTEUR (string),NENNDRUCK_ (string),NENNWEITE_ (string),NENNWEITE1 (float),NENNWEITE2 (float),NENNWEITE3 (string),NENNWEITE4 (string),NENNWEITE5 (string),NENNWEITE6 (float),NENNWEITE7 (float),NETZBETREI (string),NETZZUGEHÖ (string),NUMMERIERU (string),ORTSTEILNA (string),ORTSTEILSC (string),PRÜFDRUCK_ (string),PRÜFTURNUS (string),PÄCHTER (string),ROHRKENNZA (string),ROHRVERLEG (string),SAP_ID (string),SCHLIEßRIC (string),SCHLÜSSELB (string),SICHERUNGS (string),SKIZZE_POI (float),SONDERFUNK (string),SPÜLTRUPP (string),STATUS (string),STATUS_SEI (string),STRAßENNAM (string),STRAßENSCH (string),SUBCODE (float),SYSTEMBETR (string),TN_PRÜFUNG (string),TN_STATUS (float),TEXT_ID (float),TIEFBAUFIR (string),VERBINDUNG (string),VORSCHIEBE (string),GS_ID (float),RWO_ID (string),ÜBERGANG_A (string)
47.9610458378631,7.95648409907636,270,8275452,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22756 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,25,,,8275452,,auf dem Rohr,0,Versorgungsleitung,ID-8275452,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548191,rechts,098,,749414,Hydrant auf Leitung,,in Betrieb,,Blumweg,0831506422756,0,,BP: OK ÜP: OK,0,2153806,,,nein,0,1780441-697951846-8275455,
47.9626577952807,7.95762958534409,271,21028742,Unterflurhydrant,,,,,,0,0,,2008/01/01,,,,,0,Kirchzarten,08315064,1,,,21028742,im Straßenkörper,auf dem Rohr,0,Versorgungsleitung,ID-21028742,,,,,,,,200,0,,200,,0,0,,VW,EWK Kirchzarten,,,,,,,,100554756,rechts,102,,1713497,Hydrant auf Leitung,,in Betrieb,,Albert-Kromer-Straße,0831506422699,0,,BP: OK ÜP: OK,0,3327919,,,nein,0,1780441-583072999-21028745,
47.9624267086847,7.95848672467494,272,21031148,Unterflurhydrant,,,,,,0,0,,2008/01/01,,,,,0,Kirchzarten,08315064,20,,,21031148,im Straßenkörper,auf dem Rohr,0,Versorgungsleitung,ID-21031148,,,,,,,,102.1999969482,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100554757,,101,,1713538,Hydrant auf Leitung,,in Betrieb,,Albert-Kromer-Straße,0831506422699,0,,BP: OK ÜP: OK,0,3327975,,,nein,0,1780441-574919789-21031151,
47.9619839857718,7.95781560259762,273,21191867,Unterflurhydrant,,,,,,0,0,,2008/01/01,,,,,0,Kirchzarten,08315064,10,,,21191867,im Straßenkörper,auf dem Rohr,0,Versorgungsleitung,ID-21191867,,,,,Statistik 2008 / Ritter,,,102.1999969482,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100554816,rechts,100,,1718204,Hydrant auf Leitung,,in Betrieb,,Albert-Kromer-Straße,0831506422699,0,,BP: OK ÜP: OK,0,3195752,,,nein,0,1780441-575935836-21191870,
47.9598957912206,7.95834355429337,274,9299787,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22838 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,FN1318,,,9299787,,auf dem Rohr,0,Versorgungsleitung,ID-9299787,,,,,,,,150,0,,150,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548775,,242,,836029,Hydrant auf Leitung,,in Betrieb,,Lerchenfeld,08315064Y0129,0,,BP: OK ÜP: OK,0,2154486,,,nein,0,1780441-711460224-9299790,
47.9592779016447,7.95758275824536,275,9299464,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: unset Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,33,,,9299464,,auf dem Rohr,0,Versorgungsleitung,ID-9299464,,,,,,,,150,0,,150,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548773,rechts,240,,836008,Endhydrant bis 4 m,,in Betrieb,,Giersbergstraße,0831506422838,0,,BP: OK ÜP: OK,0,2154484,,,nein,0,1780441-700302461-9299467,
47.960359622292,7.95571181245684,276,8279160,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22838 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,16,,,8279160,,auf dem Rohr,0,Versorgungsleitung,ID-8279160,,,,,,,,100,0,,100,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548199,rechts,234,,749871,Hydrant auf Leitung,,in Betrieb,,Giersbergstraße,0831506422838,0,,BP: OK ÜP: OK,0,2153814,,,nein,0,1780441-699185438-8279163,
47.9596437446103,7.95657111677171,277,9658812,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22838 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,33,,,9658812,,auf dem Rohr,0,Versorgungsleitung,ID-9658812,,,,,,,,150,0,,150,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548793,rechts,238,,949254,Hydrant auf Leitung,,in Betrieb,,Giersbergstraße,0831506422838,0,,BP: OK ÜP: OK,0,2154506,,,nein,0,1780441-699827324-9658815,
47.9596688494637,7.95569133562852,278,8279281,Unterflurhydrant,,,Gemeindeschl.: 5430 Strassenschl.: 22838 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,33,,,8279281,,auf dem Rohr,0,Versorgungsleitung,ID-8279281,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548200,rechts,236,,749882,Hydrant auf Leitung,,in Betrieb,,Giersbergstraße,0831506422838,0,,BP: OK ÜP: OK,0,2153815,,,nein,0,1780441-699749737-8279284,
47.9717086340526,7.98332542666625,279,8769117,Unterflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22731 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,14,,,8769117,,auf dem Rohr,0,Versorgungsleitung,ID-8769117,,,,,,,,125,0,,125,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548302,,076,,833242,Hydrant auf Leitung,,in Betrieb,,Am Schmiedacker,0831506422731,0,,BP: OK ÜP: OK,0,2153923,,,nein,0,1778034-1073951791-8769120,
