latitude,longitude,ref:ewk,emergency,fire_hydrant:type,fire_hydrant:diameter,start_date
47.9669255575983,7.95159801226028,27898816,fire_hydrant,underground,,2022
47.9655005830932,7.95207678806723,8496978,fire_hydrant,underground,80,
47.9661224028777,7.95401632613312,8496584,fire_hydrant,underground,,
47.9659591957512,7.95368110496952,8496649,fire_hydrant,underground,80,
47.9643833862038,7.95379504093069,8497507,fire_hydrant,underground,,
47.9640764053909,7.95286223510079,8499797,fire_hydrant,underground,,
47.9647296883216,7.9544858159894,8278526,fire_hydrant,underground,100,
47.9646911007221,7.95493190183202,8281721,fire_hydrant,underground,150,
47.9641004821757,7.95500084576663,8502459,fire_hydrant,underground,,
47.9634004631413,7.95489564457426,8280148,fire_hydrant,underground,,
47.963422101322,7.95392608608998,8502897,fire_hydrant,underground,,
47.9635853299777,7.95279541296878,8499987,fire_hydrant,underground,,
47.9648662856728,7.95094253429865,23328167,fire_hydrant,underground,,2011
47.963418375267,7.95179050816868,8505651,fire_hydrant,underground,80,
47.9635686574592,7.94964940997207,8278137,fire_hydrant,underground,100,
47.9639734093061,7.94836676401611,25557445,fire_hydrant,underground,100,2017
47.9634728122156,7.94844244778682,8230636,fire_hydrant,underground,100,
47.9640008777418,7.94699981219225,25557467,fire_hydrant,underground,100,2017
47.9633242220124,7.94696772346279,25557429,fire_hydrant,underground,,2017
47.9630796747427,7.93816337381252,8513391,fire_hydrant,pillar,,
47.9625920177152,7.94753060392616,25557483,fire_hydrant,underground,100,2017
47.9627516260543,7.94862331992754,25557475,fire_hydrant,underground,100,2017
47.9619035590889,7.94785907433932,25557491,fire_hydrant,underground,100,2017
47.9620749882341,7.94956952354191,8231082,fire_hydrant,underground,100,
47.9612353514156,7.94964830183407,8220388,fire_hydrant,underground,100,
47.9626222890434,7.95280677477923,26036525,fire_hydrant,underground,,2017
47.9624236735583,7.95532824494637,24640767,fire_hydrant,underground,,
47.9626828547054,7.95372136862511,8222182,fire_hydrant,underground,100,
47.9618401416413,7.95267122290179,26036735,fire_hydrant,underground,,2017
47.9624036895689,7.95457767421287,27477107,fire_hydrant,underground,100,2020
47.9616494066092,7.95461183632348,27600060,fire_hydrant,underground,100,2021
47.9611365242359,7.95542526334256,8278864,fire_hydrant,underground,100,
47.9610312530353,7.95414186013079,8279655,fire_hydrant,underground,,
47.961460932593,7.95295984059203,8219594,fire_hydrant,pillar,,
47.9615428368359,7.95080578419024,8219174,fire_hydrant,underground,100,
47.961562566809,7.95142727659367,8230540,fire_hydrant,underground,100,
47.9605824291282,7.95082570181087,8230398,fire_hydrant,underground,100,
47.9604926450567,7.95361872879601,8703800,fire_hydrant,underground,100,
47.9602163843615,7.95455680022819,8703874,fire_hydrant,underground,100,
47.9579998155642,7.95429740290199,25516785,fire_hydrant,underground,100,
47.9599233918823,7.94961942776255,8230238,fire_hydrant,underground,,
47.9580611845695,7.94907105256469,8503345,fire_hydrant,underground,,
47.9566762702908,7.94917952174404,8503785,fire_hydrant,underground,,
47.9548080978848,7.94507190877172,8504432,fire_hydrant,underground,,
47.9544819928099,7.94537724874272,6956708,fire_hydrant,underground,,2003
47.956467142549,7.953769791436,7660935,fire_hydrant,underground,100,
47.9504271652694,7.94695610924203,6956775,fire_hydrant,underground,,2003
47.9545639594495,7.94375209418309,8504694,fire_hydrant,underground,80,
47.961135550923,7.92605158235114,8513807,fire_hydrant,underground,80,
47.9614698037161,7.92180230514569,23551996,fire_hydrant,underground,80,
47.962421116226,7.92762176755773,8513684,fire_hydrant,underground,80,
47.9736585717004,7.98465266875404,9288626,fire_hydrant,underground,100,
47.9733826546972,7.98336562819598,8769014,fire_hydrant,underground,100,
47.9732838127973,7.98338530871014,8768995,fire_hydrant,underground,100,
47.9729299345035,7.9831675165767,8768950,fire_hydrant,pillar,,
47.9745870155202,7.9793209574776,8769031,fire_hydrant,underground,,
47.9747397968459,7.9778061152202,9203291,fire_hydrant,pillar,,
47.9740449918104,7.98105629622061,8769041,fire_hydrant,underground,100,
47.9734538930274,7.98189655932878,8769024,fire_hydrant,pillar,,
47.9742122583205,7.98055196978012,8769036,fire_hydrant,underground,100,
47.9728908963587,7.97843073719724,23055895,fire_hydrant,underground,100,2011
47.9735969541628,7.97763369057236,9331402,fire_hydrant,underground,100,
47.9752127811185,7.96128357900889,9660198,fire_hydrant,underground,150,
47.9782123470913,7.95635211952706,9231422,fire_hydrant,underground,100,
47.9778216115208,7.95596332470398,9230881,fire_hydrant,pillar,,
47.9771522794732,7.95601487608139,9230341,fire_hydrant,underground,,
47.9709459336249,7.95959951624517,8229788,fire_hydrant,underground,100,
47.9702935451237,7.96118126543218,18454973,fire_hydrant,pillar,80,2003
47.9702177900198,7.96103039429238,18454840,fire_hydrant,underground,,2003
47.9703814577715,7.9606133347733,8707413,fire_hydrant,underground,,2004
47.9700554115326,7.96088290945004,18454966,fire_hydrant,pillar,100,2003
47.9700032919596,7.96023994890425,7374226,fire_hydrant,underground,150,2002
47.9708858908498,7.95898552497437,8229801,fire_hydrant,underground,100,
47.9705903350793,7.95886435635972,8229480,fire_hydrant,underground,100,
47.9700072785967,7.95686843895422,8209608,fire_hydrant,underground,150,
47.9714765921859,7.95664309400642,8227674,fire_hydrant,underground,100,
47.9708248336447,7.95592463587519,9386919,fire_hydrant,underground,150,
47.9702989325388,7.95589352876324,8209601,fire_hydrant,underground,100,
47.9675732314196,7.95639089681744,9646350,fire_hydrant,underground,100,
47.9673471888189,7.95675818583029,8168921,fire_hydrant,underground,,
47.969523616591,7.95874356593857,7361528,fire_hydrant,underground,150,2001
47.9694127459678,7.95965049085145,21798557,fire_hydrant,underground,150,2002
47.969100856838,7.95778539565676,8207710,fire_hydrant,underground,150,
47.9686836066523,7.95746659138397,8207702,fire_hydrant,underground,150,
47.9689270515503,7.96105919266263,21191234,fire_hydrant,underground,150,2002
47.9677162076221,7.96024664457061,21566781,fire_hydrant,underground,100,2009
47.9682344408908,7.96204524428989,22416533,fire_hydrant,underground,100,2010
47.9670637789041,7.96170153489198,27004562,fire_hydrant,underground,100,2018
47.9675822862663,7.96057320317665,26979417,fire_hydrant,underground,100,2018
47.9667499611868,7.96005400136677,24924029,fire_hydrant,underground,100,2015
47.9683571327812,7.95946535566306,20864715,fire_hydrant,underground,80,2002
47.9677089393083,7.95920083416748,23346911,fire_hydrant,underground,100,2011
47.9669626800519,7.95924973730272,20969917,fire_hydrant,underground,100,2009
47.9663116348611,7.95757775230647,20969966,fire_hydrant,underground,100,2009
47.96602400631,7.95855761427858,8264594,fire_hydrant,underground,80,
47.9658536217648,7.959476712787,24924086,fire_hydrant,underground,100,2015
47.9653480854848,7.95708513959042,8267553,fire_hydrant,underground,150,
47.9662295517275,7.96174852036073,8483644,fire_hydrant,underground,100,
47.9652780987273,7.96218688522524,8494489,fire_hydrant,underground,150,
47.9654649893702,7.96124006488165,8283641,fire_hydrant,underground,100,
47.9647238456449,7.96026746683512,9935578,fire_hydrant,underground,,
47.9644247075485,7.9617501567184,8268696,fire_hydrant,underground,150,
47.9637538342317,7.96134808345718,8281823,fire_hydrant,underground,100,
47.9632046739284,7.96104620865609,8263387,fire_hydrant,underground,100,
47.9648482624645,7.95887710544209,24924151,fire_hydrant,underground,,2015
47.964324928842,7.95857044451382,8281774,fire_hydrant,underground,100,
47.9640842751901,7.95966838838416,8281801,fire_hydrant,underground,80,
47.96320753627,7.95922982236862,23840938,fire_hydrant,underground,100,2012
47.9637273106372,7.95823786087644,8283063,fire_hydrant,underground,100,
47.9634635904409,7.95698313847095,8277647,fire_hydrant,underground,,
47.9661057649832,7.95557325639901,8168195,fire_hydrant,underground,150,
47.9664445284544,7.95677931258268,19213600,fire_hydrant,underground,100,2007
47.9652821356448,7.95555655762929,8169288,fire_hydrant,underground,150,
47.9645230131608,7.95690854312469,8281745,fire_hydrant,underground,100,
47.97239241081,7.97875202289371,23055669,fire_hydrant,underground,100,
47.9722336553121,7.97760355164335,8771960,fire_hydrant,underground,,
47.9717328097895,7.97969109583637,8770782,fire_hydrant,pillar,,
47.971813109652,7.98053186758364,8770422,fire_hydrant,pillar,80,
47.9711101531134,7.98104484747452,8772215,fire_hydrant,underground,,
47.9717896070772,7.97794111795153,8771972,fire_hydrant,underground,100,
47.9713528854891,7.97838834744783,8769701,fire_hydrant,underground,100,
47.9674818734023,7.97923164608165,8772237,fire_hydrant,underground,125,
47.9665582850829,7.98066838139242,8517184,fire_hydrant,underground,100,
47.9662152390069,7.98080797749734,26065076,fire_hydrant,underground,100,2017
47.9661615550709,7.98169488961211,8518009,fire_hydrant,underground,100,
47.9657576845117,7.98125605266688,8531361,fire_hydrant,pillar,80,
47.9653240116633,7.98128255983556,8532560,fire_hydrant,underground,100,
47.965068064789,7.98005917268498,27211243,fire_hydrant,underground,100,2019
47.9646372079726,7.98018290740949,8534840,fire_hydrant,underground,150,
47.9643973441931,7.97955461152109,27640983,fire_hydrant,underground,100,2021
47.9651788228711,7.98101402187641,8532849,fire_hydrant,underground,100,
47.9647845894436,7.9816333776761,8533169,fire_hydrant,underground,100,
47.9643890763991,7.98169765964974,9935508,fire_hydrant,underground,125,
47.9645733923651,7.98070316450538,8536408,fire_hydrant,underground,100,
47.9641287249337,7.98046005822577,8537164,fire_hydrant,underground,100,
47.9642965882122,7.98105201953811,8537350,fire_hydrant,underground,100,
47.9640315519184,7.98119702541377,8537171,fire_hydrant,underground,100,
47.963459096284,7.98112132720521,8538822,fire_hydrant,pillar,,
47.9634950537936,7.98049823658425,28542262,fire_hydrant,underground,100,2023
47.9637499063715,7.97917554463593,8563606,fire_hydrant,underground,,
47.9663312542886,7.97168665189269,9202271,fire_hydrant,pillar,,
47.9656208571062,7.97323340580756,9202334,fire_hydrant,pillar,,
47.9644230376292,7.97559344138732,9202423,fire_hydrant,pillar,,
47.9690188037842,7.96341379094297,23823777,fire_hydrant,underground,150,2012
47.9692546092678,7.96614307375817,8772438,fire_hydrant,underground,125,
47.9688130224099,7.9654352002373,9297726,fire_hydrant,underground,100,
47.9680855278944,7.96388000137168,22416519,fire_hydrant,underground,150,
47.9697815441,7.96796512548141,9288767,fire_hydrant,pillar,,
47.9686939770156,7.96813644812867,9202059,fire_hydrant,pillar,,
47.9677101365436,7.96942574140859,9202114,fire_hydrant,pillar,,
47.9669108693494,7.96904553892537,27891251,fire_hydrant,pillar,90,2023
47.9667128371086,7.96292056423031,26979315,fire_hydrant,underground,,2018
47.9657436377088,7.96368702430344,8483722,fire_hydrant,underground,80,
47.9655722857677,7.96431578151109,8483714,fire_hydrant,underground,80,
47.9647593776334,7.96416682514155,8483702,fire_hydrant,underground,100,
47.9634937842681,7.96531846013589,8269487,fire_hydrant,underground,150,
47.9633300451464,7.96389779040649,8262696,fire_hydrant,underground,80,
47.9640953500108,7.96316351748462,8268907,fire_hydrant,underground,150,
47.9634554988035,7.96286540639655,8281852,fire_hydrant,underground,100,
47.9630536454869,7.96165030246537,8262877,fire_hydrant,underground,100,
47.9627924621589,7.9608208986363,8263401,fire_hydrant,underground,100,
47.962751434266,7.96492483560725,8270129,fire_hydrant,underground,100,
47.9614047920586,7.96146230332834,8516293,fire_hydrant,underground,200,
47.9603286022277,7.96386475391164,10712240,fire_hydrant,underground,80,
47.9576196587889,7.96421322275439,9299628,fire_hydrant,pillar,,
47.960999592735,7.97659052981356,9206169,fire_hydrant,underground,100,
47.9615755244127,7.97498430352703,9289177,fire_hydrant,pillar,,
47.9621603530206,7.97298493180436,9289247,fire_hydrant,underground,100,
47.9630551498844,7.98033771170604,9203693,fire_hydrant,underground,125,
47.961460118904,7.97731209770699,9290696,fire_hydrant,pillar,,
47.9602090687715,7.98104544428274,9288121,fire_hydrant,pillar,,
47.9577777745413,7.97987690295686,9288130,fire_hydrant,pillar,,
47.959478792893,7.97252689134111,9231562,fire_hydrant,underground,100,
47.9605622254525,7.97543566339675,9205853,fire_hydrant,pillar,,
47.9596104511664,7.97555639633824,9205694,fire_hydrant,pillar,,
47.9579102054594,7.97564333719385,9290017,fire_hydrant,pillar,,
47.9574534847266,7.97458731532393,9289710,fire_hydrant,pillar,,
47.9560852384287,7.97367649517735,9289739,fire_hydrant,pillar,100,
47.9565794066697,7.9755956797747,9289561,fire_hydrant,pillar,,
47.9564399899719,7.97425175820352,9205103,fire_hydrant,underground,100,
47.9550894496954,7.9755487194901,9289457,fire_hydrant,pillar,,
47.9549773253861,7.9744399673682,9289369,fire_hydrant,pillar,,
47.9628894282314,7.95692542595802,8276787,fire_hydrant,underground,,
47.9628563885037,7.95725918885635,8276740,fire_hydrant,underground,200,
47.9624437058356,7.95655594560677,8274486,fire_hydrant,underground,,
